age,income,loan_amount,employment,education,property_area,loan_status
44,81851.14,16046.84,Employed,Graduate,Semiurban,1
42,61271.89,9028.23,Employed,Graduate,Urban,1
44,31426.82,8422.54,Employed,Graduate,Semiurban,1
51,54100.67,6802.61,Employed,Graduate,Semiurban,0
40,59831.57,6518.78,Employed,Not Graduate,Semiurban,1
45,77347.2,7768.41,Employed,Not Graduate,Urban,1
37,92246.19,10060.7,Employed,Graduate,Semiurban,1
52,32661.83,29181.89,Employed,Graduate,Semiurban,1
31,35442.15,10825.37,Self-Employed,Not Graduate,Rural,0
56,29642.63,14344.19,Self-Employed,Graduate,Urban,1
38,44640.29,15680.8,Employed,Graduate,Urban,1
24,59073.83,14078.81,Employed,Graduate,Urban,1
39,72760.89,12952.22,Employed,Not Graduate,Rural,0
31,47553.92,8282.35,Self-Employed,Graduate,Rural,1
46,43133.75,23869.84,Employed,Graduate,Urban,1
31,52088.69,27525.79,Employed,Not Graduate,Rural,0
34,35099.52,6815.38,Employed,Graduate,Urban,0
21,113076.01,8869.63,Employed,Graduate,Rural,1
33,25769.21,11945.09,Self-Employed,Graduate,Semiurban,1
21,52780.46,9083.23,Self-Employed,Not Graduate,Urban,1
22,110132.83,16356.59,Employed,Graduate,Rural,1
46,49154.32,9983.52,Employed,Not Graduate,Urban,1
46,45432.56,31761.89,Employed,Not Graduate,Rural,1
42,42489.91,21508.84,Employed,Graduate,Semiurban,0
28,45608.22,14545.39,Employed,Not Graduate,Semiurban,0
38,84892.36,20146.67,Employed,Graduate,Urban,1
38,20236.74,20792.76,Employed,Graduate,Semiurban,0
26,90524.29,10661.78,Employed,Graduate,Urban,1
53,27734.08,9638.43,Unemployed,Graduate,Rural,0
47,44061.39,13783.91,Employed,Graduate,Urban,1
36,41286.97,18857.28,Self-Employed,Graduate,Semiurban,0
38,62032.97,14123.91,Self-Employed,Graduate,Rural,1
40,25867.7,7109.6,Employed,Not Graduate,Rural,0
21,58975.01,9690.2,Self-Employed,Graduate,Semiurban,1
36,110163.82,12970.22,Employed,Not Graduate,Urban,1
31,28416.65,12961.44,Employed,Graduate,Urban,1
28,52885.39,29407.85,Employed,Graduate,Semiurban,1
35,37616.84,7674.09,Unemployed,Graduate,Urban,0
56,58125.22,16354.13,Employed,Graduate,Urban,1
44,49397.7,24237.23,Employed,Graduate,Rural,0
32,37926.5,33142.77,Unemployed,Not Graduate,Rural,0
44,59584.39,11364.4,Employed,Not Graduate,Urban,0
52,100885.27,16261.76,Self-Employed,Not Graduate,Urban,1
47,45416.85,16779.35,Self-Employed,Graduate,Urban,1
39,65375.52,14446.29,Self-Employed,Not Graduate,Rural,0
32,29222.4,12841.81,Unemployed,Graduate,Semiurban,0
45,33437.24,15905.02,Unemployed,Graduate,Semiurban,0
42,59216.92,4851.78,Employed,Not Graduate,Rural,1
47,88756.01,17550.33,Self-Employed,Graduate,Urban,1
44,56514.09,14051.31,Employed,Graduate,Semiurban,1
48,43251.05,12222.21,Employed,Graduate,Rural,1
33,49006.91,30295.21,Employed,Graduate,Urban,1
51,29727.77,10198.81,Self-Employed,Not Graduate,Semiurban,0
40,62430.31,11370.41,Unemployed,Graduate,Semiurban,1
59,69768.17,29632.33,Unemployed,Not Graduate,Semiurban,0
31,40911.39,9577.53,Employed,Graduate,Semiurban,1
55,40618.67,10720.94,Employed,Graduate,Urban,1
40,54521.55,12596.7,Employed,Graduate,Urban,1
31,41163.7,18700.28,Self-Employed,Graduate,Rural,1
33,47741.05,14517.66,Self-Employed,Graduate,Urban,1
35,113537.53,7966.1,Employed,Not Graduate,Rural,1
42,44408.66,10798.18,Employed,Not Graduate,Semiurban,1
43,42474.7,10478.26,Employed,Not Graduate,Semiurban,0
32,37834.75,12953.37,Employed,Not Graduate,Rural,0
38,66017.61,15840.69,Unemployed,Not Graduate,Semiurban,0
59,45593.04,15792.37,Employed,Graduate,Semiurban,1
55,37807.05,6565.57,Employed,Not Graduate,Rural,0
42,83159.99,20446.69,Employed,Graduate,Urban,1
38,86494.94,14779.96,Employed,Graduate,Urban,1
39,38554.6,23244.24,Unemployed,Graduate,Urban,0
44,23234.28,15957.42,Employed,Graduate,Urban,0
28,73350.56,20754.72,Employed,Graduate,Urban,1
35,37277.61,16100.7,Employed,Not Graduate,Urban,1
21,67255.24,22890.8,Self-Employed,Graduate,Rural,1
42,22291.45,16463.49,Self-Employed,Graduate,Semiurban,0
44,70055.21,12846.59,Self-Employed,Graduate,Urban,1
33,30198.01,33155.83,Employed,Graduate,Semiurban,0
54,65663.97,19065.1,Employed,Graduate,Rural,1
26,49301.47,16806.11,Employed,Graduate,Urban,1
23,33470.65,8018.27,Self-Employed,Graduate,Semiurban,1
40,41655.37,7979.87,Employed,Graduate,Rural,0
48,64506.89,15019.22,Employed,Not Graduate,Urban,1
55,51141.82,14160.45,Self-Employed,Not Graduate,Semiurban,0
33,61930.32,10449.93,Self-Employed,Graduate,Urban,1
49,108074.52,14134.77,Employed,Graduate,Rural,1
38,26220.67,25221.47,Employed,Graduate,Urban,1
36,93609.3,17644.18,Employed,Not Graduate,Semiurban,1
47,51110.35,8464.16,Self-Employed,Graduate,Rural,1
45,34217.29,12776.93,Self-Employed,Graduate,Rural,1
22,28792.62,9681.9,Employed,Not Graduate,Urban,0
53,45449.26,11440.56,Employed,Graduate,Rural,1
52,70874.08,11322.57,Self-Employed,Graduate,Semiurban,1
32,46582.51,11036.26,Self-Employed,Graduate,Rural,1
42,89721.16,8086.46,Employed,Not Graduate,Rural,0
43,27433.76,12694.68,Employed,Not Graduate,Rural,0
41,48784.33,10676.04,Employed,Not Graduate,Semiurban,0
32,29704.17,4139.05,Employed,Graduate,Rural,1
31,56695.65,30369.34,Unemployed,Graduate,Semiurban,0
38,69895.39,20650.77,Self-Employed,Not Graduate,Semiurban,0
50,41427.3,11492.84,Self-Employed,Not Graduate,Rural,0
43,17297.45,13460.67,Employed,Graduate,Urban,1
34,53081.26,8361.04,Self-Employed,Not Graduate,Rural,0
46,58378.06,26325.39,Employed,Graduate,Semiurban,0
21,57625.35,28535.82,Employed,Graduate,Urban,1
49,80363.3,14223.88,Employed,Not Graduate,Rural,0
21,31938.85,20118.85,Employed,Graduate,Semiurban,1
34,64349.63,14330.06,Self-Employed,Not Graduate,Urban,0
27,78984.19,7826.81,Employed,Graduate,Rural,1
25,24066.23,11330.69,Employed,Graduate,Urban,1
50,55706.98,14083.67,Employed,Not Graduate,Urban,1
33,40067.79,11138.7,Employed,Not Graduate,Semiurban,0
41,47448.06,12240.91,Employed,Graduate,Urban,1
38,56334.96,12880.12,Employed,Graduate,Urban,1
43,40340.39,12934.44,Self-Employed,Graduate,Semiurban,0
39,37410.88,13641.93,Employed,Graduate,Urban,1
25,49695.07,8740.81,Employed,Not Graduate,Semiurban,0
48,31732.66,10028.57,Employed,Not Graduate,Semiurban,0
33,31750.7,7991.76,Self-Employed,Graduate,Urban,1
22,64327.94,19754.3,Employed,Graduate,Urban,1
34,30960.96,5754.52,Employed,Graduate,Semiurban,1
53,63992.75,21193.21,Employed,Not Graduate,Rural,0
47,58984.89,23261.15,Employed,Graduate,Urban,1
35,24579.73,11838.68,Employed,Graduate,Semiurban,0
35,37383.1,4716.14,Self-Employed,Graduate,Urban,1
35,79034.82,11561.96,Employed,Graduate,Semiurban,1
59,33108.12,13021.1,Employed,Graduate,Urban,1
42,40710.38,8917.41,Self-Employed,Graduate,Urban,0
42,58972.37,10871.64,Self-Employed,Not Graduate,Urban,1
48,67060.88,24638.81,Employed,Not Graduate,Semiurban,1
40,44328.56,17430.4,Employed,Not Graduate,Rural,0
35,38599.55,9229.63,Employed,Graduate,Semiurban,1
36,86590.72,7051.25,Employed,Graduate,Rural,1
37,98278.43,11721.65,Self-Employed,Graduate,Urban,1
38,72514.6,12266.38,Self-Employed,Graduate,Urban,1
45,50722.62,16292.82,Unemployed,Not Graduate,Rural,0
39,35478.91,10784.59,Employed,Graduate,Rural,1
45,35165.55,16392.84,Employed,Graduate,Rural,0
37,60415.78,28971.32,Employed,Not Graduate,Urban,0
39,57951.36,18512.48,Self-Employed,Not Graduate,Semiurban,1
21,85874.26,13105.2,Employed,Graduate,Urban,1
47,63588.0,12415.98,Employed,Graduate,Semiurban,1
41,26870.06,11583.43,Self-Employed,Graduate,Urban,1
48,74665.92,21423.77,Self-Employed,Graduate,Rural,1
21,32885.13,10394.94,Self-Employed,Graduate,Urban,1
59,42041.46,13603.59,Employed,Graduate,Rural,1
37,54180.7,13636.14,Self-Employed,Not Graduate,Rural,0
49,108908.9,10930.22,Self-Employed,Graduate,Rural,1
28,170070.34,7715.71,Employed,Graduate,Rural,1
44,62485.46,15202.11,Employed,Graduate,Semiurban,1
27,45557.08,13037.67,Employed,Graduate,Rural,1
32,60706.27,16319.18,Unemployed,Not Graduate,Semiurban,0
57,69916.86,10791.99,Employed,Graduate,Urban,1
36,43119.6,21770.88,Employed,Graduate,Rural,1
40,100517.24,9407.76,Employed,Graduate,Rural,1
47,53746.2,26497.78,Self-Employed,Not Graduate,Urban,1
43,59820.11,6640.52,Employed,Graduate,Rural,1
40,63982.81,15897.36,Employed,Not Graduate,Urban,1
42,58025.31,16158.03,Employed,Graduate,Urban,1
62,68567.65,9718.41,Unemployed,Graduate,Urban,1
37,38295.92,15831.51,Employed,Graduate,Urban,1
40,39209.69,22288.08,Employed,Not Graduate,Rural,0
49,31569.23,5504.23,Self-Employed,Not Graduate,Rural,0
49,58442.61,16335.53,Employed,Graduate,Semiurban,1
50,66941.51,4928.02,Unemployed,Graduate,Semiurban,0
44,58871.31,9079.13,Employed,Graduate,Urban,1
27,95778.83,25633.79,Employed,Graduate,Semiurban,1
54,48911.2,10586.0,Employed,Graduate,Semiurban,0
27,64054.95,8353.6,Employed,Not Graduate,Rural,0
41,31676.16,12342.76,Self-Employed,Not Graduate,Rural,0
30,41988.88,30551.3,Employed,Graduate,Semiurban,0
37,64745.22,6420.99,Self-Employed,Graduate,Rural,1
41,68846.93,8773.37,Employed,Not Graduate,Semiurban,1
41,43582.6,24318.01,Employed,Not Graduate,Urban,1
42,47636.77,28087.53,Employed,Graduate,Urban,0
54,26711.53,12818.28,Unemployed,Graduate,Rural,0
43,42496.98,8138.64,Employed,Graduate,Rural,0
36,69993.19,30894.62,Employed,Graduate,Semiurban,1
48,61702.64,25280.2,Employed,Graduate,Semiurban,1
50,59890.09,17528.42,Employed,Graduate,Rural,0
26,50006.56,9653.15,Employed,Graduate,Urban,1
44,49159.49,13100.27,Unemployed,Graduate,Semiurban,0
45,37641.84,12529.69,Employed,Graduate,Rural,1
35,64830.49,15250.09,Self-Employed,Graduate,Urban,1
52,58011.07,23870.55,Employed,Not Graduate,Rural,0
36,59683.3,18991.88,Self-Employed,Not Graduate,Semiurban,0
39,39719.04,8682.37,Unemployed,Graduate,Semiurban,0
36,20716.02,23169.65,Employed,Graduate,Rural,0
38,76028.31,15142.38,Unemployed,Not Graduate,Urban,0
27,40476.02,17585.44,Employed,Graduate,Semiurban,1
24,34713.7,24019.38,Unemployed,Graduate,Rural,0
54,64691.92,8564.39,Self-Employed,Graduate,Rural,1
30,41906.45,13169.64,Employed,Graduate,Urban,1
28,74904.9,10801.26,Employed,Graduate,Semiurban,1
21,62743.01,7135.63,Employed,Not Graduate,Urban,0
32,64436.0,15347.13,Employed,Graduate,Urban,1
25,28385.05,36483.76,Employed,Graduate,Rural,1
54,79600.65,6399.46,Employed,Not Graduate,Urban,1
48,54420.72,13188.33,Employed,Graduate,Rural,1
31,42289.29,17261.21,Self-Employed,Graduate,Urban,1
61,51914.6,14033.9,Employed,Graduate,Rural,1
48,24088.89,12768.66,Employed,Graduate,Urban,1
35,57725.89,7945.12,Employed,Graduate,Urban,1
21,32475.83,14663.47,Employed,Graduate,Urban,1
61,28536.29,9870.39,Employed,Graduate,Semiurban,0
24,26663.65,5563.77,Employed,Not Graduate,Semiurban,0
22,76502.24,21543.66,Unemployed,Graduate,Urban,0
48,38112.39,19601.36,Self-Employed,Graduate,Semiurban,1
62,90534.94,13638.67,Employed,Graduate,Rural,1
52,39564.18,14641.71,Self-Employed,Graduate,Semiurban,1
44,24761.79,20531.74,Employed,Graduate,Rural,0
44,31363.19,14614.01,Self-Employed,Not Graduate,Rural,0
47,80364.25,19179.69,Self-Employed,Graduate,Urban,1
46,46057.26,11860.95,Employed,Graduate,Rural,1
41,39367.07,22579.41,Employed,Not Graduate,Semiurban,0
39,52261.08,15188.81,Employed,Graduate,Rural,0
37,59916.85,14438.03,Employed,Graduate,Urban,1
30,76646.52,8038.32,Self-Employed,Not Graduate,Urban,1
35,87500.49,14984.66,Employed,Not Graduate,Semiurban,1
21,42450.44,9577.94,Self-Employed,Not Graduate,Rural,0
37,28841.8,10349.43,Unemployed,Graduate,Rural,0
28,41548.39,9641.67,Employed,Graduate,Semiurban,0
27,54399.61,8721.15,Self-Employed,Not Graduate,Urban,1
40,33339.44,31254.18,Self-Employed,Graduate,Urban,1
52,33427.68,22754.9,Unemployed,Graduate,Semiurban,0
47,56247.4,28800.47,Unemployed,Not Graduate,Urban,0
22,48076.03,8191.42,Self-Employed,Graduate,Urban,1
28,49668.13,13745.98,Employed,Not Graduate,Rural,0
47,36192.31,7963.29,Self-Employed,Graduate,Semiurban,1
28,44704.96,10114.47,Employed,Graduate,Urban,1
36,33870.74,9253.43,Self-Employed,Graduate,Semiurban,0
44,69988.02,21934.89,Unemployed,Not Graduate,Semiurban,0
28,74168.87,11401.59,Employed,Graduate,Urban,1
39,23424.2,20483.02,Employed,Graduate,Semiurban,1
25,33799.31,17011.56,Employed,Not Graduate,Rural,0
32,26940.56,33572.26,Employed,Not Graduate,Rural,0
41,37797.2,7392.51,Employed,Not Graduate,Semiurban,0
22,47411.72,22107.97,Self-Employed,Graduate,Semiurban,0
42,27450.56,21132.69,Unemployed,Graduate,Urban,0
38,33902.91,9051.16,Unemployed,Not Graduate,Rural,0
44,32807.65,19987.32,Employed,Graduate,Rural,0
40,53258.19,15282.41,Self-Employed,Graduate,Rural,1
52,50399.56,12197.78,Self-Employed,Graduate,Urban,1
